Exercicio;Tipo de Dívida;Modalidade da Dívida;Carteira;Tipo de Fonte;Fonte SOF Código;Fonte Recursos Código;Fonte Recursos Nome;Movimentação Financeira;Natureza Despesa Detalhada Código;Natureza Despesa Detalhada Nome; Saldo Atual 
2013;Interna;Mobiliária;MERCADO;Primaria;162;62;REFORMA PATRIMONIAL - ALIENACAO DE BENS;Principal;469072;PRINCIPAL DA DIVIDA MOBILIARIA RESGATADO;18000000,00
2013;Interna;Mobiliária;MERCADO;Financeira;173;73;REC.DAS OPER.OF.DE CREDITO-RET.DE OC.EST.MUN.;Principal;469072;PRINCIPAL DA DIVIDA MOBILIARIA RESGATADO;32346764604,00
2013;Interna;Mobiliária;MERCADO;Financeira;188;88;REMUNERACAO DAS DISPONIB. DO TESOURO NACIONAL;Principal;469072;PRINCIPAL DA DIVIDA MOBILIARIA RESGATADO;11000000000,00
2013;Interna;Mobiliária;MERCADO;Primaria;197;97;DIVIDENDOS   UNIAO;Principal;469072;PRINCIPAL DA DIVIDA MOBILIARIA RESGATADO;15533000000,00
2013;Interna;Mobiliária;MERCADO;Financeira;373;73;REC.DAS OPER.OF.DE CREDITO-RET.DE OC.EST.MUN.;Principal;469072;PRINCIPAL DA DIVIDA MOBILIARIA RESGATADO;1559268955,00
2013;Interna;Mobiliária;MERCADO;Financeira;143;43;REFINANCIAMENTO DA DIV. PUBL. MOBIL. FEDERAL;Principal;469076;PRINCIPAL CORRIGIDO DA DIV.MOB.REFINANCIADO;73903995816,00
2013;Interna;Mobiliária;MERCADO;Financeira;343;43;REFINANCIAMENTO DA DIV. PUBL. MOBIL. FEDERAL;Principal;469076;PRINCIPAL CORRIGIDO DA DIV.MOB.REFINANCIADO;240479000000,00
2013;Interna;Contratual;BACEN;Financeira;159;59;REC.OPER.OF.CRED.-RET.REF.DIV.MED. E L.PRAZOS;Juros e Encargos;329021;JUROS SOBRE A DIVIDA POR CONTRATO;15603672,42
2013;Interna;Contratual;BACEN;Financeira;173;73;REC.DAS OPER.OF.DE CREDITO-RET.DE OC.EST.MUN.;Juros e Encargos;329021;JUROS SOBRE A DIVIDA POR CONTRATO;664884782,70
2013;Interna;Contratual;BACEN;Financeira;344;44;TITULOS DE RESPONSABILID. DO TESOURO NACIONAL;Juros e Encargos;329021;JUROS SOBRE A DIVIDA POR CONTRATO;5478612,91
2013;Interna;Contratual;BACEN;Financeira;388;88;REMUNERACAO DAS DISPONIB. DO TESOURO NACIONAL;Juros e Encargos;329021;JUROS SOBRE A DIVIDA POR CONTRATO;32955,35
2013;Interna;Contratual;BACEN;Financeira;344;44;TITULOS DE RESPONSABILID. DO TESOURO NACIONAL;Juros e Encargos;329022;OUTROS ENCARGOS SOBRE A DIVIDA POR CONTRATO;124408,49
2013;Interna;Contratual;BACEN;Financeira;388;88;REMUNERACAO DAS DISPONIB. DO TESOURO NACIONAL;Juros e Encargos;329022;OUTROS ENCARGOS SOBRE A DIVIDA POR CONTRATO;129619,31
2013;Interna;Mobiliária;BACEN;Financeira;144;44;TITULOS DE RESPONSABILID. DO TESOURO NACIONAL;Juros e Encargos;329023;JUROS,DESAGIOS E DESCONTOS DA DIV. MOBILIARIA;34424900830,00
2013;Interna;Mobiliária;BACEN;Financeira;188;88;REMUNERACAO DAS DISPONIB. DO TESOURO NACIONAL;Juros e Encargos;329023;JUROS,DESAGIOS E DESCONTOS DA DIV. MOBILIARIA;2446676864,00
2013;Interna;Mobiliária;BACEN;Financeira;344;44;TITULOS DE RESPONSABILID. DO TESOURO NACIONAL;Juros e Encargos;329023;JUROS,DESAGIOS E DESCONTOS DA DIV. MOBILIARIA;4000000000,00
2013;Interna;Mobiliária;MERCADO;Financeira;373;73;REC.DAS OPER.OF.DE CREDITO-RET.DE OC.EST.MUN.;Juros e Encargos;329023;JUROS,DESAGIOS E DESCONTOS DA DIV. MOBILIARIA;27134398,74
2013;Interna;Contratual;BACEN;Financeira;159;59;REC.OPER.OF.CRED.-RET.REF.DIV.MED. E L.PRAZOS;Principal;469071;PRINCIPAL DA DIVIDA CONTRATUAL RESGATADO;127781241,00
2013;Interna;Contratual;BACEN;Financeira;173;73;REC.DAS OPER.OF.DE CREDITO-RET.DE OC.EST.MUN.;Principal;469071;PRINCIPAL DA DIVIDA CONTRATUAL RESGATADO;2816602694,00
2013;Interna;Contratual;BACEN;Financeira;388;88;REMUNERACAO DAS DISPONIB. DO TESOURO NACIONAL;Principal;469071;PRINCIPAL DA DIVIDA CONTRATUAL RESGATADO;280027,47
2013;Interna;Mobiliária;MERCADO;Financeira;188;88;REMUNERACAO DAS DISPONIB. DO TESOURO NACIONAL;Principal;469072;PRINCIPAL DA DIVIDA MOBILIARIA RESGATADO;1245153463,00
2013;Interna;Mobiliária;MERCADO;Financeira;373;73;REC.DAS OPER.OF.DE CREDITO-RET.DE OC.EST.MUN.;Principal;469072;PRINCIPAL DA DIVIDA MOBILIARIA RESGATADO;54642224,64
2013;Interna;Mobiliária;BACEN;Financeira;143;43;REFINANCIAMENTO DA DIV. PUBL. MOBIL. FEDERAL;Principal;469076;PRINCIPAL CORRIGIDO DA DIV.MOB.REFINANCIADO;129849000000,00
2013;Interna;Contratual;BACEN;Financeira;343;43;REFINANCIAMENTO DA DIV. PUBL. MOBIL. FEDERAL;Principal;469077;PRINCIPAL CORRIGIDO DIVIDA CONTR.REFINANCIADO;8598916,45
2014;Externa;Contratual;MERCADO;Financeira;144;44;TÍTULOS DE RESPONSABILID.DO TESOURO NACIONAL;Juros e Encargos;32902101;JUROS DA DIVIDA CONTRATUAL;468892495,10
2014;Externa;Contratual;MERCADO;Primaria;329;29;RECURSOS DE CONCESSOES E PERMISSOES;Juros e Encargos;32902101;JUROS DA DIVIDA CONTRATUAL;543995,45
2014;Externa;Contratual;MERCADO;Financeira;371;71;REC.DAS OPER.OF.DE CREDITO-RET.DE OC.-BEA/BIB;Juros e Encargos;32902101;JUROS DA DIVIDA CONTRATUAL;1250297,12
2014;Externa;Contratual;MERCADO;Financeira;144;44;TÍTULOS DE RESPONSABILID.DO TESOURO NACIONAL;Juros e Encargos;32902102;VARIACAO CAMBIAL JUROS DA DIVIDA CONTRATUAL;1042956,37
2014;Externa;Contratual;MERCADO;Financeira;144;44;TÍTULOS DE RESPONSABILID.DO TESOURO NACIONAL;Juros e Encargos;32902201;ENCARGOS DA DIVIDA CONTRATUAL;69345738,02
2014;Externa;Contratual;MERCADO;Financeira;144;44;TÍTULOS DE RESPONSABILID.DO TESOURO NACIONAL;Juros e Encargos;32902202;VARIACAO CAMBIAL ENCARGOS DIVIDA CONTRATUAL;30754,81
2014;Externa;Mobiliária;MERCADO;Financeira;144;44;TÍTULOS DE RESPONSABILID.DO TESOURO NACIONAL;Juros e Encargos;32902301;JUROS DA DIVIDA MOBILIARIA;5784261755,00
2014;Externa;Mobiliária;MERCADO;Financeira;171;71;REC.DAS OPER.OF.DE CREDITO-RET.DE OC.-BEA/BIB;Juros e Encargos;32902301;JUROS DA DIVIDA MOBILIARIA;182505997,00
2014;Externa;Mobiliária;MERCADO;Financeira;144;44;TÍTULOS DE RESPONSABILID.DO TESOURO NACIONAL;Juros e Encargos;32902302;VARIACAO CAMBIAL DOS JUROS DA DIV.MOBILIARIA;1873396,87
2014;Externa;Mobiliária;MERCADO;Financeira;144;44;TÍTULOS DE RESPONSABILID.DO TESOURO NACIONAL;Juros e Encargos;32902304;DESAGIOS DA DIVIDA MOBILIARIA;587046420,50
2014;Externa;Mobiliária;MERCADO;Financeira;144;44;TÍTULOS DE RESPONSABILID.DO TESOURO NACIONAL;Juros e Encargos;32902401;ENCARGOS DA DIVIDA MOBILIARIA;27310930,40
2014;Externa;Mobiliária;MERCADO;Financeira;171;71;REC.DAS OPER.OF.DE CREDITO-RET.DE OC.-BEA/BIB;Juros e Encargos;32902401;ENCARGOS DA DIVIDA MOBILIARIA;7846875,00
2014;Externa;Contratual;MERCADO;Primaria;250;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;Principal;46907101;AMORTIZACAO DA DIVIDA CONTRATUAL;58000,00
2014;Externa;Contratual;MERCADO;Financeira;371;71;REC.DAS OPER.OF.DE CREDITO-RET.DE OC.-BEA/BIB;Principal;46907101;AMORTIZACAO DA DIVIDA CONTRATUAL;1700000,00
2014;Externa;Mobiliária;MERCADO;Financeira;171;71;REC.DAS OPER.OF.DE CREDITO-RET.DE OC.-BEA/BIB;Principal;46907201;RESGATE DA DIVIDA MOBILIARIA;146946201,00
2014;Externa;Mobiliária;MERCADO;Financeira;371;71;REC.DAS OPER.OF.DE CREDITO-RET.DE OC.-BEA/BIB;Principal;46907201;RESGATE DA DIVIDA MOBILIARIA;38194000,00
2014;Externa;Mobiliária;MERCADO;Financeira;143;43;REFINANCIAMENTO DA DIV.PÚBL.MOBIL.FEDERAL;Principal;46907601;REFINANCIAMENTO PRINCIPAL DIVIDA MOBILIARIA;2845560836,00
2014;Externa;Mobiliária;MERCADO;Financeira;143;43;REFINANCIAMENTO DA DIV.PÚBL.MOBIL.FEDERAL;Principal;46907602;VARIACAO CAMBIAL DIV.MOBILIARIA REFINANCIADA;21645256,60
2014;Externa;Contratual;MERCADO;Financeira;143;43;REFINANCIAMENTO DA DIV.PÚBL.MOBIL.FEDERAL;Principal;46907701;REFINANCIAMENTO DO PRINCIPAL - DIV.CONTRATUAL;1944414303,00
2014;Externa;Contratual;MERCADO;Financeira;143;43;REFINANCIAMENTO DA DIV.PÚBL.MOBIL.FEDERAL;Principal;46907702;VARIACAO CAMBIAL DIV.CONTRATUAL REFINANCIADA;1486237,54
2014;Externa;Contratual;MERCADO;Financeira;143;43;REFINANCIAMENTO DA DIV.PÚBL.MOBIL.FEDERAL;Principal;46907703;ATUALIZ.MONET.DA DIV.CONTRATUAL REFINANCIADA;15072835,42
2014;Interna;Contratual;MERCADO;Financeira;280;80;RECURSOS FINANCEIROS DIRETAMENTE ARRECADADOS;Juros e Encargos;32902101;JUROS DA DIVIDA CONTRATUAL;220080,25
2014;Interna;Contratual;MERCADO;Financeira;280;80;RECURSOS FINANCEIROS DIRETAMENTE ARRECADADOS;Juros e Encargos;32902201;ENCARGOS DA DIVIDA CONTRATUAL;6506,28
2014;Interna;Mobiliária;MERCADO;Financeira;144;44;TÍTULOS DE RESPONSABILID.DO TESOURO NACIONAL;Juros e Encargos;32902301;JUROS DA DIVIDA MOBILIARIA;89468115700,00
2014;Interna;Mobiliária;MERCADO;Financeira;152;52;RESULTADO DO BACEN;Juros e Encargos;32902301;JUROS DA DIVIDA MOBILIARIA;10000000000,00
2014;Interna;Contratual;MERCADO;Financeira;280;80;RECURSOS FINANCEIROS DIRETAMENTE ARRECADADOS;Principal;46907101;AMORTIZACAO DA DIVIDA CONTRATUAL;732984,94
2014;Interna;Mobiliária;MERCADO;Financeira;152;52;RESULTADO DO BACEN;Principal;46907201;RESGATE DA DIVIDA MOBILIARIA;21290000000,00
2014;Interna;Mobiliária;MERCADO;Financeira;159;59;REC.OPER.OF.CRED.-RET.REF.DIV.MED. E L.PRAZOS;Principal;46907201;RESGATE DA DIVIDA MOBILIARIA;11600000000,00
2014;Interna;Mobiliária;MERCADO;Financeira;173;73;REC.DAS OPER.OF.DE CREDITO-RET.DE OC.EST.MUN.;Principal;46907201;RESGATE DA DIVIDA MOBILIARIA;37150000000,00
2014;Interna;Mobiliária;MERCADO;Financeira;188;88;REMUNERACAO DAS DISPONIB. DO TESOURO NACIONAL;Principal;46907201;RESGATE DA DIVIDA MOBILIARIA;22076487783,00
2014;Interna;Mobiliária;MERCADO;Primaria;197;97;DIVIDENDOS ± UNIAO;Principal;46907201;RESGATE DA DIVIDA MOBILIARIA;17290618941,00
2014;Interna;Mobiliária;MERCADO;Primaria;329;29;RECURSOS DE CONCESSOES E PERMISSOES;Principal;46907201;RESGATE DA DIVIDA MOBILIARIA;2000000000,00
